"Ticket";"Open_Date_Time";"Open_Day";"Open_Time";"Type";"Size";"Item";"Price";"Stop_Loss";"Take_Profit";"Close_Date_Time";"Close_Day";"Close_Time";"Price";"Commission";"Taxes";"Swap";"Profit"
22624461;"2022.10.28 10:52:32";28.10.2022;"10:52:32";"buy";0,04;".de40cash";13.051,40;0,00;0,00;"2022.10.28 10:57:26";28.10.2022;"10:57:26";13.064,00;"0.00";"0.00";0,00;0,50
22629609;"2022.10.28 11:59:05";28.10.2022;"11:59:05";"sell";0,04;".de40cash";13.106,40;0,00;0,00;"2022.10.28 12:01:01";28.10.2022;"12:01:01";13.091,70;"0.00";"0.00";0,00;0,59
22631452;"2022.10.28 12:15:01";28.10.2022;"12:15:01";"buy";0,04;".de40cash";13.071,70;0,00;0,00;"2022.10.28 12:15:43";28.10.2022;"12:15:43";13.065,00;"0.00";"0.00";0,00;-0,27
22632127;"2022.10.28 12:15:55";28.10.2022;"12:15:55";"sell";0,04;".de40cash";13.062,40;0,00;0,00;"2022.10.28 12:19:19";28.10.2022;"12:19:19";13.074,90;"0.00";"0.00";0,00;-0,50
22633153;"2022.10.28 12:21:05";28.10.2022;"12:21:05";"buy";0,04;".de40cash";13.081,60;0,00;0,00;"2022.10.28 12:29:09";28.10.2022;"12:29:09";13.096,50;"0.00";"0.00";0,00;0,60
22634067;"2022.10.28 12:29:23";28.10.2022;"12:29:23";"sell";0,04;".de40cash";13.095,30;0,00;0,00;"2022.10.28 12:35:31";28.10.2022;"12:35:31";13.084,00;"0.00";"0.00";0,00;0,45
22634786;"2022.10.28 12:32:35";28.10.2022;"12:32:35";"sell";0,04;".de40cash";13.103,00;0,00;0,00;"2022.10.28 12:35:31";28.10.2022;"12:35:31";13.084,00;"0.00";"0.00";0,00;0,76
22636267;"2022.10.28 12:50:37";28.10.2022;"12:50:37";"sell";0,04;".de40cash";13.115,40;0,00;0,00;"2022.10.28 13:15:54";28.10.2022;"13:15:54";13.120,70;"0.00";"0.00";0,00;-0,21
22637090;"2022.10.28 12:58:25";28.10.2022;"12:58:25";"sell";0,04;".de40cash";13.125,50;0,00;0,00;"2022.10.28 13:12:34";28.10.2022;"13:12:34";13.123,00;"0.00";"0.00";0,00;0,10
22638377;"2022.10.28 13:10:16";28.10.2022;"13:10:16";"sell";0,04;".de40cash";13.133,00;0,00;0,00;"2022.10.28 13:12:28";28.10.2022;"13:12:28";13.124,20;"0.00";"0.00";0,00;0,35
22639736;"2022.10.28 13:34:53";28.10.2022;"13:34:53";"buy";0,04;".de40cash";13.142,80;0,00;0,00;"2022.10.28 14:07:43";28.10.2022;"14:07:43";13.110,40;"0.00";"0.00";0,00;-1,30
